Province,Name,Address,Latitude,Longitude
Hà Nội,Chi nhánh Cầu Giấy,"Chi nhánh Cầu GiấySố 99 Trần Đăng Ninh, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội",21.037701,105.793576
Hà Nội,Chi nhánh Cầu Giấy - Phòng giao dịch Số 7,"Chi nhánh Cầu Giấy - Phòng giao dịch Số 7Số 9 đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội",21.037501,105.775078
Hà Nội,Chi nhánh Cầu Giấy - Phòng giao dịch Số 9,"Chi nhánh Cầu Giấy - Phòng giao dịch Số 9Số 39 đường Nguyễn Văn Huyên kéo dài, tổ 22, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội",21.034443,105.797612
Hà Nội,Chi nhánh Từ Liêm - Phòng giao dịch Quan Hoa,"Chi nhánh Từ Liêm - Phòng giao dịch Quan HoaNhà số 79, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội",21.032417,105.79939
Hà Nội,"ATM 01 Do Quang, Cau Giay, Ha Noi","ATM 01 Do Quang, Cau Giay, Ha Noi01 Do Quang, Cau Giay, Ha Noi",21.011765,105.80145
Hà Nội,ATM So 162 Trung Kinh Yen Hoa Cau Giay Ha Noi,ATM So 162 Trung Kinh Yen Hoa Cau Giay Ha NoiSo 162 Trung Kinh Yen Hoa Cau Giay Ha Noi,21.020559,105.791841
Hà Nội,"ATM Số 1 Phạm Huy Thông, Ngọc Khánh","ATM Số 1 Phạm Huy Thông, Ngọc KhánhSố 1 Phạm Huy Thông, Ngọc Khánh",21.026151,105.811036
Hà Nội,"ATM Toa nha Ha Do ParkView, KDT Dich Vong, Cau Giay","ATM Toa nha Ha Do ParkView, KDT Dich Vong, Cau GiayToa nha Ha Do ParkView, KDT Dich Vong, Cau Giay",21.027248,105.793716
Hà Nội,ATM So 69 Tran Thai Tong,ATM So 69 Tran Thai TongSo 69 Tran Thai Tong ,21.033441,105.78854
Hà Nội,ATM So 9 Ton That Thuyet,ATM So 9 Ton That ThuyetSo 9 Ton That Thuyet,21.028036,105.783398
Hà Nội,ATM C2 Trung Kinh,ATM C2 Trung KinhC2 Trung Kinh,21.018927,105.793167
Hà Nội,ATM 159 Doan Ke Thien,ATM 159 Doan Ke Thien159 Doan Ke Thien,21.04147,105.776966
Hà Nội,ATM Nha CT5 Pham Hung,ATM Nha CT5 Pham HungNha CT5 Pham Hung,21.018651,105.780913
